"BehaviorSpace results (NetLogo 3D 5.1.0)"
"/home/ec2-user/swarmSimRescue/rescueSwarm3D.nlogo3d"
"SwarmModSizeExperiment"
"09/14/2014 03:16:13:555 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","swarmBehaviour","swarmModificationSize","[step]","rescued","totalVictims"
"714","false","0.2","20000","16","18"
"700","false","0.2","20000","13","14"
"743","false","0.2","11907","8","8"
"724","false","0.2","20000","13","14"
"731","false","0.2","20000","3","4"
"749","false","0.2","10474","19","19"
"741","false","0.2","11307","4","4"
"758","false","0.2","4679","14","14"
"730","false","0.2","20000","9","10"
"735","false","0.2","20000","6","7"
"751","false","0.2","10739","12","12"
"740","false","0.2","13231","10","10"
"754","false","0.2","6521","14","14"
"701","false","0.2","20000","15","16"
"771","false","0.2","636","21","16"
"738","false","0.2","20000","10","12"
"764","false","0.2","4420","11","11"
"696","false","0.2","20000","9","10"
"753","false","0.2","10410","12","12"
"710","false","0.2","13929","14","14"
"746","false","0.2","20000","20","21"
"762","false","0.2","7115","13","13"
"737","false","0.2","20000","13","15"
"756","false","0.2","9903","15","15"
"739","false","0.2","20000","9","10"
"744","false","0.2","20000","9","11"
"760","false","0.2","8679","14","14"
"766","false","0.2","5735","14","14"
"728","false","0.2","20000","21","22"
"763","false","0.2","8050","9","9"
"765","false","0.2","5557","16","16"
"785","false","0.2","3185","6","6"
"772","false","0.2","8353","17","17"
